,row_name,column_name,value
0,appendicitis,2,1.0
1,ionosphere,2,1.0
2,mofn-3-7-10,2,1.0
3,ring,2,1.0
4,shuttle,2,1.0
5,spambase,2,1.0
6,appendicitis,4,1.0
7,biodegradation,4,1.0
8,ecoli,4,1.0
9,glass2,4,1.0
10,heart-c,4,1.0
11,ionosphere,4,1.0
12,mofn-3-7-10,4,1.0
13,ring,4,1.0
14,shuttle,4,1.0
15,spambase,4,1.0
16,texture,4,1.0
17,waveform-40,4,1.0
18,wdbc,4,1.0
19,wine-recog,4,1.0
20,appendicitis,8,1.0
21,banknote,8,1.0
22,biodegradation,8,1.0
23,ecoli,8,1.0
24,glass2,8,1.0
25,heart-c,8,1.0
26,ionosphere,8,1.0
27,iris,8,1.0
28,magic,8,1.0
29,mofn-3-7-10,8,1.0
30,new-thyroid,8,1.0
31,ring,8,1.0
32,shuttle,8,1.0
33,spambase,8,1.0
34,texture,8,1.0
35,twonorm,8,1.0
36,waveform-40,8,1.0
37,wdbc,8,1.0
38,wine-recog,8,1.0
39,wpbc,8,1.0
40,appendicitis,16,1.0
41,banknote,16,1.0
42,biodegradation,16,1.0
43,ecoli,16,1.0
44,glass2,16,1.0
45,heart-c,16,1.0
46,ionosphere,16,1.0
47,iris,16,1.0
48,karhunen,16,1.0
49,letter,16,1.0
50,magic,16,1.0
51,mofn-3-7-10,16,1.0
52,new-thyroid,16,1.0
53,ring,16,1.0
54,shuttle,16,1.0
55,sonar,16,1.0
56,spambase,16,1.0
57,texture,16,1.0
58,twonorm,16,1.0
59,waveform-40,16,1.0
60,wdbc,16,1.0
61,wine-recog,16,1.0
62,wpbc,16,1.0
63,ann-thyroid,32,1.0
64,appendicitis,32,1.0
65,banknote,32,1.0
66,biodegradation,32,1.0
67,ecoli,32,1.0
68,glass2,32,1.0
69,heart-c,32,1.0
70,ionosphere,32,1.0
71,iris,32,1.0
72,karhunen,32,1.0
73,letter,32,1.0
74,magic,32,1.0
75,mofn-3-7-10,32,1.0
76,new-thyroid,32,1.0
77,pendigits,32,1.0
78,phoneme,32,1.0
79,ring,32,1.0
80,shuttle,32,1.0
81,sonar,32,1.0
82,spambase,32,1.0
83,spectf,32,1.0
84,texture,32,1.0
85,threeOf9,32,1.0
86,twonorm,32,1.0
87,vowel,32,1.0
88,waveform-21,32,1.0
89,waveform-40,32,1.0
90,wdbc,32,1.0
91,wine-recog,32,1.0
92,wpbc,32,1.0
93,vowel,16,1.04166666666667
94,waveform-21,16,1.04166666666667
95,magic,4,1.06666666666667
96,ecoli,2,1.1
97,glass2,2,1.1
98,pendigits,16,1.125
99,spectf,16,1.14583333333333
100,banknote,4,1.15
101,heart-c,2,1.18333333333333
102,wdbc,2,1.2
103,segmentation,32,1.20833333333333
104,wine-recog,2,1.3
105,ring,1,1.4
106,shuttle,1,1.4
107,appendicitis,1,1.43333333333333
108,mofn-3-7-10,1,1.43333333333333
109,wpbc,4,1.43333333333333
110,ann-thyroid,16,1.49583333333333
111,phoneme,16,1.54166666666667
112,threeOf9,16,1.54166666666667
113,letter,8,1.5875
114,twonorm,4,1.65
115,karhunen,8,1.65833333333333
116,iris,4,1.66666666666667
117,texture,2,1.71666666666667
118,biodegradation,2,1.76666666666667
119,spambase,1,1.8
120,new-thyroid,4,1.83333333333333
121,sonar,8,1.84166666666667
122,waveform-40,2,1.9
123,ionosphere,1,2.0
124,vowel,8,2.08333333333333
125,waveform-21,8,2.08333333333333
126,magic,2,2.13333333333333
127,ecoli,1,2.2
128,glass2,1,2.2
129,pendigits,8,2.25
130,spectf,8,2.29166666666667
131,banknote,2,2.3
132,heart-c,1,2.36666666666667
133,wdbc,1,2.4
134,segmentation,16,2.41666666666667
135,wine-recog,1,2.6
136,wpbc,2,2.86666666666667
137,ann-thyroid,8,2.99166666666667
138,phoneme,8,3.08333333333333
139,threeOf9,8,3.08333333333333
140,letter,4,3.175
141,twonorm,2,3.3
142,karhunen,4,3.31666666666667
143,iris,2,3.33333333333333
144,texture,1,3.43333333333333
145,biodegradation,1,3.53333333333333
146,new-thyroid,2,3.66666666666667
147,sonar,4,3.68333333333333
148,waveform-40,1,3.8
149,vowel,4,4.16666666666667
150,waveform-21,4,4.16666666666667
151,magic,1,4.26666666666667
152,pendigits,4,4.5
153,spectf,4,4.58333333333333
154,banknote,1,4.6
155,segmentation,8,4.83333333333333
156,wpbc,1,5.73333333333333
157,ann-thyroid,4,5.98333333333333
158,phoneme,4,6.16666666666667
159,threeOf9,4,6.16666666666667
160,letter,2,6.35
161,twonorm,1,6.6
162,karhunen,2,6.63333333333333
163,iris,1,6.66666666666667
164,new-thyroid,1,7.33333333333333
165,sonar,2,7.36666666666667
166,vowel,2,8.33333333333333
167,waveform-21,2,8.33333333333333
168,pendigits,2,9.0
169,spectf,2,9.16666666666667
170,segmentation,4,9.66666666666667
171,ann-thyroid,2,11.9666666666667
172,phoneme,2,12.3333333333333
173,threeOf9,2,12.3333333333333
174,letter,1,12.7
175,karhunen,1,13.2666666666667
176,sonar,1,14.7333333333333
177,vowel,1,16.6666666666667
178,waveform-21,1,16.6666666666667
179,pendigits,1,18.0
180,spectf,1,18.3333333333333
181,segmentation,2,19.3333333333333
182,ann-thyroid,1,23.9333333333333
183,phoneme,1,24.6666666666667
184,threeOf9,1,24.6666666666667
185,segmentation,1,38.6666666666667
